exp,plate,genotype,rep,label,pixel,mm
4,A,Col,1,2016pifgi2exp1a_Col.avi:0473-0174-0056:236.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0472-0174-0056:236.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0471-0174-0056:235.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0470-0174-0056:235.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0469-0174-0056:234.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0468-0174-0056:234.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0467-0174-0056:233.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0466-0174-0056:233.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0465-0174-0056:232.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0464-0174-0056:232.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0463-0174-0056:231.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0462-0174-0056:231.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0461-0174-0056:230.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0460-0174-0056:230.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0459-0174-0056:229.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0458-0174-0056:229.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0457-0174-0056:228.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0456-0174-0056:228.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0455-0174-0056:227.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0454-0174-0056:227.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0453-0174-0056:226.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0452-0174-0056:226.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0451-0174-0056:225.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0450-0174-0056:225.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0449-0174-0056-1:224.50 s,52.846,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0448-0174-0056:224.00 s,52.846,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0447-0174-0056:223.50 s,52.846,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0446-0174-0056:223.00 s,52.846,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0445-0174-0056:222.50 s,52.846,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0444-0174-0056:222.00 s,52.846,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0443-0174-0056:221.50 s,52.846,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0442-0174-0056:221.00 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0441-0174-0056:220.50 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0440-0174-0056:220.00 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0439-0174-0056:219.50 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0438-0174-0056:219.00 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0437-0174-0056:218.50 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0436-0174-0056:218.00 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0435-0174-0056:217.50 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0434-0174-0056:217.00 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0433-0174-0056:216.50 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0432-0174-0056:216.00 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0431-0174-0056:215.50 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0430-0174-0056:215.00 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0429-0174-0056:214.50 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0428-0174-0056:214.00 s,52.19,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0427-0175-0056:213.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0426-0175-0056:213.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0425-0175-0056:212.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0424-0175-0056:212.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0423-0175-0056:211.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0422-0175-0056:211.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0421-0175-0056:210.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0420-0175-0056:210.00 s,51.202,
