exp,plate,genotype,rep,label,pixel,mm
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0742-0119-0176:371.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0741-0119-0176:370.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0740-0119-0176:370.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0739-0119-0176:369.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0738-0119-0176:369.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0737-0119-0176:368.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0736-0119-0176:368.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0735-0119-0176:367.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0734-0119-0176:367.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0733-0119-0176:366.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0732-0119-0176:366.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0731-0119-0176:365.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0730-0119-0176:365.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0729-0119-0176:364.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0728-0119-0176:364.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0727-0119-0176:363.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0726-0119-0176:363.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0725-0119-0176:362.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0724-0119-0176:362.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0723-0119-0176:361.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0722-0119-0176:361.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0721-0119-0176:360.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0720-0119-0176:360.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0719-0119-0176:359.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0718-0119-0176:359.00 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0717-0119-0176:358.50 s,66.031,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0716-0119-0177:358.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0715-0119-0177:357.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0714-0119-0177:357.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0713-0119-0177:356.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0712-0119-0177:356.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0711-0119-0177:355.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0710-0119-0177:355.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0709-0119-0177:354.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0708-0119-0177:354.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0707-0119-0177:353.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0706-0119-0177:353.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0705-0119-0177:352.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0704-0119-0177:352.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0703-0119-0177:351.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0702-0119-0177:351.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0701-0119-0177:350.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0700-0119-0177:350.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0699-0119-0177:349.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0698-0119-0177:349.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0697-0119-0177:348.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0696-0119-0177:348.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0695-0119-0177:347.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0694-0119-0177:347.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0693-0119-0177:346.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0692-0119-0177:346.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0691-0119-0177:345.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0690-0119-0177:345.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0689-0119-0177:344.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0688-0119-0177:344.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0687-0119-0177:343.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0686-0119-0177:343.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0685-0119-0177:342.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0684-0119-0177:342.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0683-0119-0177:341.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0682-0119-0177:341.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0681-0119-0177:340.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0680-0119-0177:340.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0679-0119-0177:339.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0678-0119-0177:339.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0677-0119-0177:338.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0676-0119-0177:338.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0675-0119-0177:337.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0674-0119-0177:337.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0673-0119-0177:336.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0672-0119-0177:336.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0671-0119-0177:335.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0670-0119-0177:335.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0669-0119-0177:334.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0668-0119-0177:334.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0667-0119-0177:333.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0666-0119-0177:333.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0665-0119-0185:332.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0664-0119-0185:332.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0663-0119-0185:331.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0662-0119-0185:331.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0661-0119-0185:330.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0660-0119-0185:330.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0659-0119-0185:329.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0658-0119-0185:329.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0657-0119-0185:328.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0656-0119-0185:328.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0655-0119-0185:327.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0654-0119-0185:327.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0653-0119-0185:326.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0652-0119-0185:326.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0651-0119-0185:325.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0650-0119-0185:325.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0649-0119-0185:324.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0648-0119-0185:324.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0647-0119-0185:323.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0646-0119-0185:323.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0645-0119-0185:322.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0644-0119-0185:322.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0643-0119-0185:321.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0642-0119-0185:321.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0641-0119-0185:320.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0640-0119-0185:320.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0639-0119-0185:319.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0638-0119-0185:319.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0637-0119-0185:318.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0636-0119-0185:318.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0635-0119-0185:317.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0634-0119-0185:317.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0633-0119-0185:316.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0632-0119-0185:316.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0631-0119-0185:315.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0630-0119-0185:315.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0629-0119-0185:314.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0628-0119-0185:314.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0627-0119-0185:313.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0626-0119-0185:313.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0625-0119-0185:312.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0624-0119-0185:312.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0623-0119-0185:311.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0622-0119-0185:311.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0621-0119-0185:310.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0620-0119-0185:310.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0619-0119-0185:309.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0618-0119-0185:309.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0617-0119-0185:308.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0616-0119-0185:308.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0615-0119-0185:307.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0614-0119-0185:307.00 s,64.92,
